sales_id,order_id,sale_date,product_code,customer_code,store_code,quantity,revenue,discount,profit
T0000001,O000001,2026-09-09,P0038,C00069,S002,3,245.04,0.0,64.09
T0000002,O000001,2024-03-08,P0032,C00008,S018,3,746.97,37.35,299.0
T0000003,O000002,2026-01-26,P0023,C00257,S017,3,236.82,11.84,68.59
T0000004,O000002,2025-10-08,P0029,C00292,S017,1,59.37,2.97,27.48
T0000005,O000003,2026-10-27,P0023,C00198,S003,5,469.35,0.0,126.93
T0000006,O000003,2026-05-19,P0019,C00250,S019,1,189.89,0.0,107.34
T0000007,O000004,2024-02-22,P0018,C00081,S006,1,189.83,18.98,58.28
T0000008,O000004,2025-02-21,P0029,C00079,S004,5,773.8,0.0,435.48
T0000009,O000005,2026-12-08,P0040,C00261,S014,5,113.25,0.0,56.87
T0000010,O000005,2024-05-02,P0041,C00080,S016,3,391.65,39.16,149.65
T0000011,O000006,2025-05-24,P0008,C00141,S020,3,738.39,0.0,264.64
T0000012,O000006,2026-09-02,P0039,C00016,S009,3,447.18,22.36,174.58
T0000013,O000007,2025-08-14,P0025,C00232,S002,4,415.28,0.0,200.29
T0000014,O000007,2026-06-22,P0038,C00035,S006,2,62.14,6.21,15.75
T0000015,O000008,2024-06-06,P0040,C00234,S015,4,185.0,0.0,53.7
T0000016,O000008,2026-07-11,P0026,C00162,S001,1,66.54,6.65,25.49
T0000017,O000009,2024-10-10,P0042,C00031,S001,3,262.8,0.0,69.93
T0000018,O000009,2024-06-04,P0043,C00265,S015,4,524.56,26.23,163.23
T0000019,O000010,2025-10-18,P0001,C00227,S015,1,120.69,12.07,32.47
T0000020,O000010,2024-09-03,P0015,C00265,S004,5,321.7,0.0,106.58
T0000021,O000011,2024-07-06,P0032,C00165,S005,1,239.46,0.0,111.5
T0000022,O000011,2026-08-30,P0005,C00122,S019,2,493.14,24.66,149.42
T0000023,O000012,2024-03-21,P0016,C00041,S017,5,144.75,7.24,34.85
T0000024,O000012,2026-08-07,P0019,C00288,S020,4,691.64,0.0,186.27
T0000025,O000013,2026-08-25,P0027,C00077,S020,1,5.23,0.0,2.66
T0000026,O000013,2024-11-23,P0042,C00171,S013,1,7.9,0.0,3.83
T0000027,O000014,2026-10-05,P0044,C00065,S016,4,943.56,94.36,197.1
T0000028,O000014,2024-03-18,P0018,C00235,S009,1,12.8,0.0,7.26
T0000029,O000015,2026-04-23,P0039,C00051,S006,3,414.18,0.0,119.95
T0000030,O000015,2024-09-07,P0032,C00111,S002,5,1215.75,121.58,370.66
T0000031,O000016,2026-03-23,P0015,C00171,S014,1,249.58,24.96,103.05
T0000032,O000016,2024-09-22,P0012,C00260,S010,5,270.75,0.0,114.06
T0000033,O000017,2025-04-23,P0007,C00203,S020,2,327.58,0.0,128.14
T0000034,O000017,2026-08-23,P0032,C00043,S008,1,192.74,0.0,67.52
T0000035,O000018,2024-11-18,P0005,C00089,S013,2,424.64,0.0,118.11
T0000036,O000018,2025-12-07,P0050,C00095,S003,5,221.75,0.0,60.12
T0000037,O000019,2024-06-01,P0036,C00053,S010,2,139.72,6.99,29.97
T0000038,O000019,2024-08-04,P0012,C00158,S016,3,267.96,26.8,103.72
T0000039,O000020,2026-03-28,P0034,C00244,S015,5,26.95,2.7,11.28
T0000040,O000020,2025-11-17,P0019,C00272,S014,1,243.02,0.0,95.03
T0000041,O000021,2026-07-23,P0030,C00130,S011,3,36.06,3.61,14.2
T0000042,O000021,2025-11-23,P0033,C00044,S010,5,319.35,15.97,147.21
T0000043,O000022,2024-05-02,P0025,C00175,S016,2,115.24,11.52,32.08
T0000044,O000022,2024-07-18,P0019,C00108,S006,1,202.69,10.13,76.01
T0000045,O000023,2025-06-15,P0047,C00180,S019,5,133.05,0.0,54.29
T0000046,O000023,2024-05-06,P0050,C00268,S011,1,170.17,0.0,50.14
T0000047,O000024,2025-10-04,P0044,C00228,S016,1,167.52,8.38,65.0
T0000048,O000024,2024-07-20,P0021,C00253,S001,5,316.7,15.84,131.08
T0000049,O000025,2024-10-20,P0013,C00204,S019,4,674.4,0.0,286.31
T0000050,O000025,2024-06-30,P0028,C00035,S011,2,63.76,3.19,20.42
T0000051,O000026,2025-11-02,P0031,C00016,S015,5,594.0,29.7,181.46
T0000052,O000026,2026-06-12,P0036,C00154,S006,2,421.12,63.17,176.82
T0000053,O000027,2025-12-29,P0043,C00171,S008,5,193.8,0.0,55.66
T0000054,O000027,2024-03-08,P0027,C00122,S008,3,513.45,0.0,234.68
T0000055,O000028,2024-01-23,P0027,C00106,S014,4,752.04,0.0,260.12
T0000056,O000028,2026-07-14,P0009,C00206,S014,5,350.05,0.0,190.11
T0000057,O000029,2024-10-24,P0026,C00198,S019,5,1106.05,0.0,366.46
T0000058,O000029,2025-11-06,P0010,C00191,S006,3,346.53,0.0,120.11
T0000059,O000030,2025-02-13,P0027,C00197,S019,3,522.72,0.0,141.85
T0000060,O000030,2026-07-15,P0006,C00182,S001,2,481.48,24.07,114.96
T0000061,O000031,2026-02-15,P0029,C00019,S009,5,979.75,97.98,430.73
T0000062,O000031,2026-09-18,P0050,C00118,S014,1,196.69,0.0,112.83
T0000063,O000032,2026-04-08,P0014,C00162,S011,4,901.12,0.0,431.66
T0000064,O000032,2025-10-04,P0009,C00119,S017,2,369.5,18.48,81.73
T0000065,O000033,2025-08-04,P0030,C00059,S009,4,162.84,16.28,63.29
T0000066,O000033,2024-06-24,P0034,C00024,S020,5,221.35,0.0,125.4
T0000067,O000034,2026-12-15,P0015,C00203,S005,5,840.9,0.0,315.71
T0000068,O000034,2026-07-07,P0024,C00182,S005,2,366.28,54.94,94.76
T0000069,O000035,2026-09-07,P0010,C00041,S014,1,149.09,7.45,37.61
T0000070,O000035,2025-12-25,P0012,C00025,S004,3,127.29,0.0,61.72
T0000071,O000036,2024-10-31,P0029,C00200,S008,3,591.06,59.11,214.83
T0000072,O000036,2024-11-30,P0024,C00213,S002,4,580.08,29.0,135.57
T0000073,O000037,2024-05-03,P0040,C00297,S007,3,507.93,0.0,175.16
T0000074,O000037,2025-08-23,P0007,C00252,S005,2,367.62,0.0,183.73
T0000075,O000038,2025-09-09,P0050,C00105,S004,4,800.92,40.05,360.73
T0000076,O000038,2026-03-11,P0035,C00216,S020,5,208.45,20.84,81.95
T0000077,O000039,2026-12-28,P0039,C00089,S002,4,481.76,48.18,96.1
T0000078,O000039,2024-06-08,P0050,C00161,S010,2,60.2,0.0,16.57
T0000079,O000040,2024-12-30,P0012,C00232,S006,5,1064.6,159.69,377.14
T0000080,O000040,2024-08-26,P0050,C00187,S014,1,60.12,0.0,23.84
T0000081,O000041,2026-11-22,P0048,C00083,S010,2,73.48,3.67,32.03
T0000082,O000041,2025-08-28,P0014,C00206,S017,3,324.63,32.46,157.61
T0000083,O000042,2025-12-15,P0009,C00173,S005,2,13.3,0.0,5.73
T0000084,O000042,2025-05-13,P0017,C00098,S017,4,612.2,0.0,273.13
T0000085,O000043,2026-06-25,P0006,C00020,S006,2,472.16,0.0,248.35
T0000086,O000043,2026-06-07,P0003,C00105,S009,4,299.32,29.93,47.15
T0000087,O000044,2026-06-06,P0035,C00281,S019,5,287.8,0.0,74.78
T0000088,O000044,2026-05-22,P0041,C00169,S007,4,141.16,21.17,40.98
T0000089,O000045,2024-03-26,P0050,C00233,S006,5,632.25,63.22,136.01
T0000090,O000045,2024-06-15,P0005,C00298,S017,5,495.05,0.0,213.91
T0000091,O000046,2026-04-05,P0042,C00177,S002,1,79.02,7.9,38.57
T0000092,O000046,2024-02-25,P0020,C00297,S002,2,332.74,0.0,97.59
T0000093,O000047,2025-11-08,P0028,C00179,S004,4,461.92,46.19,166.23
T0000094,O000047,2026-05-20,P0027,C00057,S006,5,527.35,0.0,144.36
T0000095,O000048,2025-12-26,P0036,C00246,S016,3,92.25,9.22,36.65
T0000096,O000048,2025-08-22,P0008,C00257,S020,4,959.56,47.98,504.08
T0000097,O000049,2025-09-08,P0045,C00181,S006,1,135.43,6.77,42.09
T0000098,O000049,2024-09-15,P0005,C00031,S014,1,208.73,0.0,111.6
T0000099,O000050,2024-10-09,P0041,C00215,S014,2,401.1,60.16,138.29
T0000100,O000050,2024-09-18,P0023,C00021,S012,3,742.11,0.0,424.08
T0000101,O000051,2024-05-19,P0029,C00111,S017,3,108.54,0.0,43.96
T0000102,O000051,2024-03-02,P0014,C00282,S004,4,979.76,97.98,337.03
T0000103,O000052,2026-12-07,P0037,C00295,S002,5,509.25,50.92,243.98
T0000104,O000052,2025-07-04,P0050,C00149,S018,5,818.15,0.0,218.01
T0000105,O000053,2025-11-17,P0010,C00210,S013,3,336.93,0.0,160.75
